Date,High,Low,Close
17-08-2022 04:09:00,23944.65000000,23941.28000000,23941.28000000
17-08-2022 04:10:00,23944.36000000,23937.65000000,23943.60000000
17-08-2022 04:11:00,23946.87000000,23939.70000000,23941.31000000
17-08-2022 04:12:00,23939.73000000,23936.25000000,23936.25000000
17-08-2022 04:13:00,23941.45000000,23933.60000000,23939.54000000
17-08-2022 04:14:00,23935.84000000,23931.85000000,23935.84000000
17-08-2022 04:15:00,23938.06000000,23932.58000000,23934.65000000
17-08-2022 04:16:00,23934.55000000,23920.87000000,23920.87000000
17-08-2022 04:17:00,23918.07000000,23913.00000000,23916.45000000
17-08-2022 04:18:00,23921.36000000,23914.38000000,23919.56000000
17-08-2022 04:19:00,23915.79000000,23903.22000000,23903.22000000
17-08-2022 04:20:00,23912.88000000,23900.83000000,23910.83000000
17-08-2022 04:21:00,23908.14000000,23888.00000000,23888.00000000
17-08-2022 04:22:00,23902.74000000,23895.14000000,23902.74000000
17-08-2022 04:23:00,23903.75000000,23894.32000000,23894.32000000
17-08-2022 04:24:00,23906.71000000,23900.17000000,23906.71000000
17-08-2022 04:25:00,23910.63000000,23905.21000000,23908.31000000
17-08-2022 04:26:00,23911.10000000,23907.66000000,23911.10000000
17-08-2022 04:27:00,23941.42000000,23912.39000000,23941.42000000
17-08-2022 04:28:00,23956.29000000,23940.00000000,23949.06000000
17-08-2022 04:29:00,23956.03000000,23953.11000000,23955.13000000
17-08-2022 04:30:00,23955.13000000,23955.13000000,23955.13000000
17-08-2022 04:31:00,23955.13000000,23955.13000000,23955.13000000
17-08-2022 04:32:00,23955.13000000,23955.13000000,23955.13000000
17-08-2022 04:33:00,23943.32000000,23943.32000000,23943.32000000
17-08-2022 04:34:00,23943.32000000,23943.32000000,23943.32000000
17-08-2022 04:35:00,23935.38000000,23931.90000000,23935.38000000
17-08-2022 04:36:00,23954.04000000,23940.00000000,23954.04000000
17-08-2022 04:37:00,23954.09000000,23952.14000000,23953.00000000
17-08-2022 04:38:00,23953.00000000,23953.00000000,23953.00000000
17-08-2022 04:39:00,23959.88000000,23957.56000000,23959.88000000
17-08-2022 04:40:00,23962.63000000,23959.88000000,23960.00000000
17-08-2022 04:41:00,23959.62000000,23944.42000000,23944.46000000
17-08-2022 04:42:00,23944.45000000,23944.42000000,23944.42000000
17-08-2022 04:43:00,23941.44000000,23930.08000000,23941.44000000
17-08-2022 04:44:00,23947.11000000,23934.07000000,23947.11000000
17-08-2022 04:45:00,23950.87000000,23947.11000000,23949.75000000
17-08-2022 04:46:00,23946.94000000,23934.99000000,23934.99000000
17-08-2022 04:47:00,23937.64000000,23928.97000000,23928.97000000
17-08-2022 04:48:00,23918.00000000,23903.22000000,23911.39000000
